Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
15776-UTT,Female,38,Yes,"Uttar Pradesh",1,19,None,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,"Two Year",No,"Bank Withdrawal",45.05,2560.1,0,0,0,2560.1,Stayed,Other,Other
56731-BIH,Female,53,Yes,Bihar,5,8,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,No,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",95.75,6849.4,0,0,1935,8784.86,Stayed,Other,Other
49302-GUJ,Female,47,No,Gujarat,14,4,None,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",61.25,1993.2,0,0,0,1993.2,Stayed,Other,Other
73360-AND,Female,74,No,"Andhra Pradesh",0,30,None,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,"One Year",No,"Credit Card",62.7,2791.5,0,0,480,3271.65,Churned,Dissatisfaction,"Limited range of services"
36756-MAD,Male,64,Yes,"Madhya Pradesh",15,33,None,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",25.1,25.1,0,0,0,25.1,Churned,Competitor,"Competitor made better offer"
11925-MAH,Female,78,Yes,Maharashtra,12,12,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",25.2,1306.3,0,0,1572,2877.8,Stayed,Other,Other
87346-MAD,Female,29,Yes,"Madhya Pradesh",12,20,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",94.1,1215.6,0,0,566,1781.88,Churned,Other,"Don't know"
86818-MAH,Female,29,Yes,Maharashtra,8,22,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",83.75,1849.95,0,0,803,2652.88,Stayed,Other,Other
65431-CHH,Female,31,No,Chhattisgarh,12,24,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",20.35,76.35,0,0,50,126.07,Churned,Price,"Long distance charges"
13829-PUN,Female,34,Yes,Punjab,12,26,None,No,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",30.5,30.5,0,0,0,30.5,Churned,Attitude,"Attitude of service provider"
19279-UTT,Female,35,No,"Uttar Pradesh",14,18,None,Yes,No,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,No,"One Year",Yes,"Bank Withdrawal",103.7,5656.75,0,20,1927,7603.95,Stayed,Other,Other
27129-TAM,Male,44,Yes,"Tamil Nadu",0,23,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",20.4,1090.6,0,0,1064,2154.4,Stayed,Other,Other
81327-JHA,Female,69,Yes,Jharkhand,6,3,"Deal 3",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Bank Withdrawal",19.6,471.85,21,0,980,1430.8,Stayed,Other,Other
42012-UTT,Female,49,No,"Uttar Pradesh",8,2,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",19.7,1396.9,0,0,2649,4045.81,Stayed,Other,Other
79321-MAH,Female,22,Yes,Maharashtra,4,8,"Deal 3",Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",91.2,3247.55,0,0,1591,4838.92,Stayed,Other,Other
82811-HAR,Female,46,Yes,Haryana,2,18,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",20.45,900.9,0,0,2429,3330.32,Stayed,Other,Other
36568-HAR,Male,26,Yes,Haryana,7,8,None,Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",-2,7942.15,0,0,2889,10830.97,Stayed,Other,Other
62683-UTT,Female,30,No,"Uttar Pradesh",12,20,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",20.55,1343.4,31,0,1549,2861.91,Stayed,Other,Other
18223-MAD,Male,32,No,"Madhya Pradesh",14,2,None,No,No,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,"Two Year",Yes,"Credit Card",39.4,825.4,0,0,0,825.4,Stayed,Other,Other
41111-MAH,Female,32,No,Maharashtra,10,8,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Bank Withdrawal",25.1,1070.15,0,0,1318,2387.67,Stayed,Other,Other
74542-MAH,Female,41,No,Maharashtra,15,16,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.8,4959.6,0,0,279,5239,Stayed,Other,Other
18842-HAR,Male,56,Yes,Haryana,2,30,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.75,5597.65,0,0,967,6564.66,Stayed,Other,Other
12210-DEL,Female,52,No,Delhi,0,31,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",20.3,224.5,0,0,231,455.86,Stayed,Other,Other
76566-UTT,Male,61,No,"Uttar Pradesh",1,20,"Deal 3",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",75.75,1929,0,0,682,2611.02,Stayed,Other,Other
73036-JAM,Female,66,Yes,"Jammu & Kashmir",10,21,None,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",49.25,91.1,0,0,88,179.08,Churned,Competitor,"Competitor made better offer"
42964-MAH,Female,25,Yes,Maharashtra,3,25,"Deal 3",Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",78.2,2078.95,0,0,1321,3399.52,Stayed,Other,Other
18220-JHA,Male,35,No,Jharkhand,12,19,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",25.5,630.6,44,0,592,1178.43,Stayed,Other,Other
47645-PUN,Male,51,Yes,Punjab,15,14,None,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",61.6,1611,45,0,161,1727.35,Stayed,Other,Other
82015-UTT,Female,52,No,"Uttar Pradesh",7,23,None,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",45,1242.45,12,0,0,1230.19,Stayed,Other,Other
15644-ASS,Female,22,No,Assam,6,3,None,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",85.15,6316.2,0,0,2330,8646.12,Stayed,Other,Other
24801-WES,Female,61,Yes,"West Bengal",12,28,None,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,"One Year",No,"Credit Card",51.45,727.85,0,0,337,1064.41,Stayed,Other,Other
85794-JHA,Female,36,No,Jharkhand,5,4,"Deal 3",Yes,No,Yes,"Fiber Optic",No,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",99.25,3532,0,0,1275,4806.7,Stayed,Other,Other
28648-DEL,Male,54,Yes,Delhi,3,14,None,Yes,No,Yes,"Fiber Optic",No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",94.2,2607.6,0,20,59,2687.05,Stayed,Other,Other
85682-UTT,Female,26,No,Uttarakhand,3,20,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,"One Year",No,"Bank Withdrawal",81.25,5567.55,0,40,351,5958.91,Stayed,Other,Other
93096-AND,Male,31,Yes,"Andhra Pradesh",9,14,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",99.95,3767.4,0,0,951,4718.22,Stayed,Other,Other
49974-RAJ,Female,73,No,Rajasthan,4,29,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",91.55,3673.6,0,0,1766,5439.2,Stayed,Other,Other
36405-CHH,Male,47,No,Chhattisgarh,9,26,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",104.5,4036.85,0,0,1508,5544.45,Churned,Competitor,"Competitor had better devices"
22439-RAJ,Female,73,Yes,Rajasthan,4,1,"Deal 4",Yes,No,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,"Bank Withdrawal",95,1120.3,0,120,127,1367.79,Churned,Dissatisfaction,"Product dissatisfaction"
33514-UTT,Female,28,Yes,"Uttar Pradesh",2,3,"Deal 5",Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",50.35,314.55,0,0,256,570.51,Stayed,Other,Other
21555-JHA,Female,54,No,Jharkhand,15,34,None,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Mailed Check",64.5,1888.45,0,0,79,1967.65,Stayed,Other,Other
46640-PUN,Male,31,Yes,Punjab,8,31,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",19.4,529.8,0,0,558,1087.62,Stayed,Other,Other
23376-TAM,Female,68,No,"Tamil Nadu",3,16,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",104.8,7308.95,6,0,2764,10067.14,Stayed,Other,Other
98423-JAM,Male,65,No,"Jammu & Kashmir",5,2,None,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,"One Year",No,"Credit Card",50.3,2878.55,10,0,1065,3933.78,Stayed,Other,Other
34135-MAH,Female,21,No,Maharashtra,9,6,None,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",71.4,1212.1,0,0,411,1623.46,Stayed,Other,Other
89530-KAR,Female,58,Yes,Karnataka,15,33,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",116,8182.85,0,0,2658,10840.73,Stayed,Other,Other
69173-TAM,Male,27,No,"Tamil Nadu",9,27,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",19.85,19.85,0,0,32,51.62,Churned,Attitude,"Attitude of support person"
22286-HAR,Female,54,Yes,Haryana,6,36,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",99.75,99.75,0,0,41,140.46,Churned,Competitor,"Competitor had better devices"
66581-UTT,Female,73,Yes,"Uttar Pradesh",8,32,"Deal 3",Yes,No,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Mailed Check",93.95,2861.45,0,0,1020,3880.97,Stayed,Other,Other
22573-TAM,Male,46,No,"Tamil Nadu",9,35,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",90.8,1442.2,0,0,779,2221.56,Stayed,Other,Other
25964-HAR,Male,66,Yes,Haryana,10,1,"Deal 2",Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",84.35,4059.35,0,0,1938,5997.3,Churned,Competitor,"Competitor offered higher download speeds"
92186-PUN,Female,42,No,Punjab,13,12,"Deal 1",No,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",58.25,4145.9,0,0,0,4145.9,Stayed,Other,Other
39892-ODI,Male,41,Yes,Odisha,3,31,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",107.55,3645.5,0,0,1640,5285.27,Stayed,Other,Other
71292-MAH,Female,18,No,Maharashtra,1,1,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",19.95,187.75,0,0,496,683.75,Stayed,Other,Other
31698-PUN,Female,20,Yes,Punjab,15,1,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",111.2,2317.1,0,120,761,3198.56,Churned,Attitude,"Attitude of service provider"
76182-UTT,Male,47,No,"Uttar Pradesh",7,10,None,No,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",40.2,1448.8,0,0,0,1448.8,Churned,Competitor,"Competitor offered more data"
73588-KER,Female,72,No,Kerala,14,29,None,Yes,No,Yes,"Fiber Optic",Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",85.8,2193.65,0,0,877,3070.89,Stayed,Other,Other
59410-MAH,Male,50,No,Maharashtra,5,17,"Deal 2",No,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,"One Year",Yes,"Credit Card",35.4,1748.9,0,0,0,1748.9,Stayed,Other,Other
69444-JAM,Female,31,Yes,"Jammu & Kashmir",5,10,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.85,511.25,13,0,200,698.56,Churned,Competitor,"Competitor made better offer"
66365-UTT,Female,59,Yes,"Uttar Pradesh",9,5,"Deal 2",Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Mailed Check",88.1,5526.75,0,0,2879,8405.34,Stayed,Other,Other
66612-TEL,Female,38,Yes,Telangana,8,27,"Deal 4",Yes,No,Yes,"Fiber Optic",No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",101.35,1553.95,0,0,689,2242.75,Churned,Attitude,"Attitude of service provider"
39181-WES,Male,54,Yes,"West Bengal",10,7,None,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,"Credit Card",45.8,1147,0,0,0,1147,Stayed,Other,Other
97688-TAM,Female,35,Yes,"Tamil Nadu",4,29,None,Yes,No,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.65,6747.35,0,0,2392,9139.19,Stayed,Other,Other
71687-KER,Male,69,Yes,Kerala,4,12,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Bank Withdrawal",20.5,865.05,0,0,1206,2070.65,Stayed,Other,Other
34524-MAH,Female,57,No,Maharashtra,13,23,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,"Credit Card",89.4,5976.9,36,40,3219,9200.36,Stayed,Other,Other
93739-UTT,Female,44,No,"Uttar Pradesh",14,6,None,Yes,No,Yes,"Fiber Optic",Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",86.25,181.65,0,0,74,255.27,Churned,Competitor,"Competitor offered higher download speeds"
21662-AND,Male,79,Yes,"Andhra Pradesh",15,36,None,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",74.85,3268.05,18,0,340,3589.82,Stayed,Other,Other
19096-WES,Female,58,Yes,"West Bengal",14,28,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.75,1052.4,0,0,173,1224.96,Churned,Attitude,"Attitude of support person"
72489-HAR,Female,73,No,Haryana,11,20,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",109.95,7634.25,0,0,1270,8904.54,Stayed,Other,Other
46624-WES,Female,26,Yes,"West Bengal",13,27,"Deal 5",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Mailed Check",80.2,80.2,0,0,1,81.43,Churned,Price,"Lack of affordable download/upload speed"
14078-MAH,Female,28,Yes,Maharashtra,6,18,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",19.85,63.75,0,0,77,141,Churned,Price,"Long distance charges"
34425-ASS,Male,81,No,Assam,0,21,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",86.45,2401.05,0,0,80,2481.24,Stayed,Other,Other
41236-GUJ,Female,54,No,Gujarat,10,12,"Deal 3",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",20.3,511.25,0,0,347,858.09,Stayed,Other,Other
68369-UTT,Female,76,No,"Uttar Pradesh",6,12,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",101.25,3949.15,0,0,786,4735,Stayed,Other,Other
91027-CHH,Male,42,No,Chhattisgarh,4,20,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.7,2362.1,0,0,872,3234.1,Churned,Competitor,"Competitor had better devices"
85993-KAR,Female,42,Yes,Karnataka,11,1,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Mailed Check",70.9,70.9,0,0,40,110.71,Churned,Competitor,"Competitor had better devices"
12999-BIH,Female,52,No,Bihar,5,34,"Deal 4",Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",54.2,1152.7,0,0,599,1751.98,Churned,Attitude,"Attitude of service provider"
48768-MAD,Female,57,No,"Madhya Pradesh",12,26,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",114.9,8496.7,0,0,3483,11979.34,Stayed,Other,Other
86994-ODI,Female,55,Yes,Odisha,7,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Bank Withdrawal",19.55,470.2,0,0,255,725.56,Stayed,Other,Other
95096-UTT,Male,38,No,"Uttar Pradesh",0,32,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",86.85,1564.4,0,0,149,1713.36,Stayed,Other,Other
71676-GUJ,Female,18,No,Gujarat,3,6,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",25.35,1847.55,0,0,653,2500.75,Stayed,Other,Other
84002-ODI,Male,77,No,Odisha,5,5,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,Yes,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",109.9,3694.7,0,0,830,4524.65,Stayed,Other,Other
32553-TAM,Male,52,No,"Tamil Nadu",11,1,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",87.2,4017.45,0,0,51,4068.68,Stayed,Other,Other
72664-JAM,Female,39,No,"Jammu & Kashmir",4,36,None,Yes,No,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",108.15,6825.65,0,0,109,6934.77,Stayed,Other,Other
78178-UTT,Male,23,Yes,Uttarakhand,6,1,None,Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",116.3,8309.55,0,0,204,8514.03,Stayed,Other,Other
31311-PUN,Male,66,Yes,Punjab,9,8,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",89,605.45,0,0,294,899.24,Stayed,Other,Other
78389-KER,Female,51,No,Kerala,4,36,"Deal 3",Yes,No,Yes,"Fiber Optic",Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Credit Card",74.4,1972.35,0,0,1260,3232.17,Stayed,Other,Other
47077-WES,Female,31,Yes,"West Bengal",9,3,"Deal 3",No,No,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,"Two Year",No,"Bank Withdrawal",35.05,844.45,0,0,0,844.45,Stayed,Other,Other
94522-JHA,Male,77,Yes,Jharkhand,0,25,None,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",74.75,2111.3,0,0,1158,3269.6,Stayed,Other,Other
53287-MAH,Female,69,Yes,Maharashtra,3,7,None,Yes,No,Yes,"Fiber Optic",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",105.5,6205.5,0,0,983,7188.02,Churned,Attitude,"Attitude of support person"
21811-CHH,Male,29,No,Chhattisgarh,13,7,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",85.25,855.3,0,100,20,975.5,Churned,Competitor,"Competitor offered more data"
16554-RAJ,Female,64,No,Rajasthan,2,15,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",75.2,633.85,0,0,83,717.28,Stayed,Other,Other
32681-MAH,Female,83,Yes,Maharashtra,3,1,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",84.35,474.9,0,0,172,647.16,Churned,Other,Deceased
92676-MAH,Male,46,No,Maharashtra,1,34,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,No,No,No,No,No,"One Year",No,"Bank Withdrawal",84.45,5848.6,0,40,2685,8574.08,Stayed,Other,Other
37347-AND,Female,65,No,"Andhra Pradesh",4,13,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",102.4,6471.85,0,0,690,7161.55,Stayed,Other,Other
53535-ASS,Female,28,No,Assam,11,10,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",115.55,8127.6,0,0,715,8842.3,Churned,Dissatisfaction,"Network reliability"
